qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim in the restaurant industry,Contextual Restriction,Added a specific context (restaurant industry) to narrow down the search results and provide more relevant information.,True,high
1037496,who is rep scalise?,who is rep scalise from louisiana,Contextual Restriction,Added a specific context (from Louisiana) to narrow down the search results and provide more precise information.,True,high
1043135,who killed nicholas ii of russia,who killed nicholas ii of russia during the russian revolution,Contextual Restriction,Added a specific historical context (during the Russian Revolution) to narrow down the query.,True,high
1051399,who sings monk theme song,who sings the theme song for the TV show monk,Contextual Restriction,Added a specific context (TV show) to narrow down the search results.,True,high
1064670,why do hunters pattern their shotguns?,why do hunters pattern their shotguns for specific game types,Contextual Restriction,"Added a constraint to specify the context of patterning shotguns for particular game types, narrowing down the scope.",True,high
1071750,why is pete rose banned from hall of fame,why is pete rose banned from hall of fame despite his hitting record,Contextual Restriction,Added a specific condition (his hitting record) to narrow down the context and refine the search results.,True,high
1105792,define: geon,definition of geon in cognitive psychology,Contextual Restriction,Added a specific context (cognitive psychology) to narrow down the definition of 'geon'.,True,high
1106979,define pareto chart in statistics,define pareto chart in quality control statistics,Contextual Restriction,"The scope of the query was narrowed down to a specific application area, 'quality control', which is a common context for Pareto charts.",True,high
1108651,what the best way to get clothes white,best way to get clothes white using natural methods,Contextual Restriction,Added a constraint 'using natural methods' to narrow down the context and refine the search results.,True,high
1109707,what medium do radio waves travel through,what medium do radio waves travel through in a vacuum,Contextual Restriction,"Added 'in a vacuum' to specify the context under which the query is being asked, narrowing down the conditions.",True,high
1110678,what is the un fao,what is the un fao's role in global food security,Contextual Restriction,"The scope of the query was narrowed down by adding a specific context, focusing on the UN FAO's role in global food security.",True,high
1113256,what is reba mcentire's net worth,Reba McEntire's net worth as of 2023,Contextual Restriction,"Added a time constraint to specify the current year, refining the search results.",True,high
1115210,what is chaff and flare,chaff and flare deployment techniques in military aviation,Contextual Restriction,"The scope of the query was narrowed down to a specific scenario, focusing on the use of chaff and flares in military aviation.",True,high
1116380,what is a nonconformity? earth science,definition of nonconformity in stratigraphy,Contextual Restriction,"The scope was narrowed down to a specific area within earth science, namely stratigraphy, to refine the search results.",True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what can you do about discrimination in the workplace for employees in oklahoma city,Contextual Restriction,The scope of the query was narrowed down by specifying 'for employees' to refine the search results.,True,high
1122767,what amino produces carnitine,which amino acid produces carnitine in human metabolism,Contextual Restriction,Added a specific context (human metabolism) to narrow down the query and refine the search results.,True,high
1127540,meaning of shebang,meaning of shebang in programming,Contextual Restriction,Added a specific context (programming) to narrow down the meaning of 'shebang'.,True,high
1131069,how many sons robert kraft has,how many sons robert kraft has as of 2023,Contextual Restriction,Added a time constraint to specify the current status as of 2023.,True,high
1132532,average annual income data analyst,average annual income data analyst in tech industry,Contextual Restriction,Added a specific context (tech industry) to narrow down the scope of the query.,True,high
1133579,how does granulation tissue start,how does granulation tissue start after a wound,Contextual Restriction,Added the context of 'after a wound' to narrow down the scenario in which granulation tissue starts forming.,True,high
1136043,difference between a hotel and motel,difference between a hotel and motel for short-term stays,Contextual Restriction,Added a specific context (short-term stays) to narrow down the comparison between hotels and motels.,True,high
1136047,difference between a company's strategy and business model is,difference between a company's strategy and business model in the technology industry,Contextual Restriction,The scope of the query was narrowed down to the technology industry to refine the search results.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?",why did ancient egyptians call their land kemet or black land during the pharaonic period,Contextual Restriction,Added a time constraint 'during the pharaonic period' to narrow down the context of the query.,True,high
118440,define bmt medical,definition of bmt medical in oncology,Contextual Restriction,Added a specific context (oncology) to narrow down the definition of BMT in the medical field.,True,high
121171,define etruscans,definition of etruscans in ancient italy,Contextual Restriction,Added a specific context (ancient Italy) to narrow down the definition of Etruscans.,True,high
135802,definition of laudable,definition of laudable in legal terms,Contextual Restriction,Added a specific context (legal terms) to narrow down the definition of 'laudable'.,True,high
141630,describe how muscles and bones work together to produce movement,describe how muscles and bones work together to produce movement in the human arm,Contextual Restriction,"The scope of the query was narrowed down by specifying a particular part of the body, the human arm, to provide more focused results.",True,high
156498,do google docs auto save,do google docs auto save when editing online,Contextual Restriction,Added a specific condition ('when editing online') to narrow down the context of the query.,True,high
