qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish develop,Conceptual Shift,"The main action 'grow' was replaced with 'develop', which is a closely related concept that better aligns with the user's intent to understand the growth process of goldfish.",True,high
1110199,what is wifi vs bluetooth,what are wireless communication protocols,Conceptual Shift,"Shifted the focus from comparing WiFi and Bluetooth to a broader concept of wireless communication protocols, which encompasses both technologies.",True,high
1063750,why did the us volunterilay enter ww1,what were the reasons for us involvement in ww1,Conceptual Shift,"Shifted the focus from 'volunteerily enter' to 'reasons for involvement', which better aligns with understanding the motivations behind US participation.",True,high
130510,definition declaratory judgment,definition declaratory relief,Conceptual Shift,"Shifted from 'declaratory judgment' to 'declaratory relief', which is a closely related legal concept that better aligns with the user's intent.",True,high
489204,right pelvic pain causes,causes of pelvic discomfort on the right side,Conceptual Shift,Shifted the focus from 'pain' to 'discomfort' which is a related but different concept that better aligns with the user's intent.,True,high
573724,what are the social determinants of health,what are the factors influencing health outcomes,Conceptual Shift,"Shifted the focus from 'social determinants' to 'factors influencing health outcomes', which is a broader but related concept.",True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila lead to respiratory infection,Conceptual Shift,"Shifted the focus from 'pneumonia' to 'respiratory infection', which is a broader and related concept.",True,high
1133167,how is the weather in jamaica,what are the climate conditions in jamaica,Conceptual Shift,"Shifted the focus from 'weather' to 'climate conditions', which better aligns with understanding the overall weather patterns.",True,high
527433,types of dysarthria from cerebral palsy,causes of dysarthria in cerebral palsy,Conceptual Shift,"Shifted the focus from 'types' to 'causes', which better aligns with understanding the underlying factors contributing to dysarthria in individuals with cerebral palsy.",True,high
1037798,who is robert gray,what are the contributions of robert gray,Conceptual Shift,"Shifted the focus from identifying Robert Gray to understanding his contributions, which better aligns with a deeper inquiry about him.",True,high
915593,what types of food can you cook sous vide,what are the best ingredients for sous vide cooking,Conceptual Shift,"Shifted the focus from 'types of food' to 'best ingredients', which better aligns with the intent of understanding suitable options for sous vide cooking.",True,high
264014,how long is life cycle of flea,what is the lifespan of a flea,Conceptual Shift,"Shifted the focus from 'life cycle' to 'lifespan', which more directly addresses the duration of a flea's life.",True,high
1121402,what can contour plowing reduce,what can conservation tillage reduce,Conceptual Shift,"Replaced 'contour plowing' with 'conservation tillage', a related agricultural practice that also aims to prevent soil erosion.",True,high
962179,when was the salvation army founded,when was the charitable organization the salvation army established,Conceptual Shift,Shifted the focus from 'founded' to 'established' and emphasized the concept of a 'charitable organization' to better align with the user's intent.,True,high
1117099,what is a active margin,what is a tectonic margin,Conceptual Shift,"Shifted the focus from 'active margin' to 'tectonic margin', which is a related concept that better aligns with the user's intent in understanding geological boundaries.",True,high
148538,difference between rn and bsn,difference between registered nurse and bachelor of science in nursing,Conceptual Shift,"Shifted from the abbreviations 'RN' and 'BSN' to their full names, which better align with the user's intent to understand the differences.",True,high
451602,medicare's definition of mechanical ventilation,medicare's criteria for mechanical ventilation coverage,Conceptual Shift,"Shifted the focus from 'definition' to 'criteria for coverage', which is a related concept that better aligns with understanding Medicare's policies on mechanical ventilation.",True,high
359349,how to find the midsegment of a trapezoid,how to determine the median of a trapezoid,Conceptual Shift,"Shifted the focus from 'midsegment' to 'median', which is a closely related concept and better aligns with the user's intent in geometry.",True,high
1115776,what is an aml surveillance analyst,what is a financial crime analyst,Conceptual Shift,"Shifted the focus from 'AML surveillance' to 'financial crime', which is a broader and related concept that better aligns with the user's intent.",True,high
1112341,what is the daily life of thai people,what is the daily routine of thai individuals,Conceptual Shift,Shifted 'daily life' to 'daily routine' to focus more on the structured activities and habits.,True,high
131843,definition of a sigmet,definition of a significant meteorological information,Conceptual Shift,"Shifted from 'sigmet' to 'significant meteorological information', which is the full form and better aligns with the user's intent.",True,high
104861,cost of interior concrete flooring,cost of interior concrete slab flooring,Conceptual Shift,"Shifted the focus from 'concrete flooring' to 'concrete slab flooring', which is a more specific and related concept.",True,high
833860,what is the most popular food in switzerland,what are the most beloved dishes in switzerland,Conceptual Shift,"Shifted the focus from 'most popular food' to 'most beloved dishes', which better aligns with the user's intent of understanding what foods are highly favored in Switzerland.",True,high
207786,how are some sharks warm blooded,how do some sharks maintain body temperature,Conceptual Shift,Shifted the focus from 'warm blooded' to 'maintain body temperature' to better align with the user's intent of understanding how sharks regulate their body heat.,True,high
1114819,what is durable medical equipment consist of,what are the components of durable medical equipment,Conceptual Shift,Shifted the focus from 'consist of' to 'components of' to better align with the user's intent of understanding what makes up durable medical equipment.,True,high
183378,exons definition biology,gene structure biology,Conceptual Shift,"Shifted the focus from 'exons' to 'gene structure', which is a broader but related concept that encompasses exons and provides more context.",True,high
