qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim from atlanta georgia,Location Specification,Added 'from atlanta georgia' to specify the geographical context of Aziz Hashim.,True,high
1037496,who is rep scalise?,who is rep scalise from louisiana,Location Specification,Added 'from louisiana' to specify the geographical context of the representative.,True,high
1043135,who killed nicholas ii of russia,who killed nicholas ii of russia in st petersburg,Location Specification,Added 'in st petersburg' to specify the location where Nicholas II was killed.,True,high
1051399,who sings monk theme song,who sings monk theme song in the us,Location Specification,Added 'in the us' to specify the geographical context of the query.,True,high
1064670,why do hunters pattern their shotguns?,why do hunters pattern their shotguns in north america,Location Specification,Added 'in north america' to specify the geographical context of the query.,True,high
1071750,why is pete rose banned from hall of fame,why is pete rose banned from hall of fame in major league baseball,Location Specification,Specified 'major league baseball' to clarify the geographical and organizational context of the query.,True,high
1105792,define: geon,define geon in geological context,Location Specification,"The term 'geon' is specified to be in a geological context, as it is often used in geological studies.",True,high
1106979,define pareto chart in statistics,define pareto chart in statistics,Location Specification,The pattern is not applicable as the query does not have a geographical context that can be specified.,False,high
1108651,what the best way to get clothes white,what the best way to get clothes white in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
1109707,what medium do radio waves travel through,what medium do radio waves travel through in space,Location Specification,Specified 'in space' to clarify the location context of the query.,True,high
1110678,what is the un fao,what is the un fao headquarters location,Location Specification,Added 'headquarters location' to specify the geographical context of the UN FAO.,True,high
1113256,what is reba mcentire's net worth,what is reba mcentire's net worth in the united states,Location Specification,Added 'in the united states' to specify the geographical context of Reba McEntire's net worth.,True,high
1115210,what is chaff and flare,what is chaff and flare used for in military aircraft,Location Specification,"The pattern was not directly applicable as the query does not inherently involve a location. However, to maintain the intent and provide context, 'used for in military aircraft' was added to specify a relevant domain.",False,low
1116380,what is a nonconformity? earth science,what is a nonconformity in earth science of north america,Location Specification,Added 'of north america' to specify the geographical context of the query.,True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,"what can you do about discrimination in the workplace in oklahoma city, oklahoma",Location Specification,Added 'oklahoma' to specify the state and make the query more targeted.,True,high
1122767,what amino produces carnitine,what amino acid produces carnitine in human cells,Location Specification,Specified 'in human cells' to clarify the location where the process occurs.,True,high
1127540,meaning of shebang,meaning of shebang in programming,Location Specification,Specified the context as 'programming' to clarify the domain where 'shebang' is used.,True,high
1131069,how many sons robert kraft has,how many sons does robert kraft have in new england,Location Specification,"Added 'in new england' to specify the geographical context, as Robert Kraft is associated with New England due to his ownership of the New England Patriots.",True,high
1132532,average annual income data analyst,average annual income data analyst in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
1133579,how does granulation tissue start,how does granulation tissue start in wound healing,Location Specification,Specified the location of granulation tissue formation to 'in wound healing' to make the query more targeted.,True,high
1136043,difference between a hotel and motel,difference between a hotel and motel in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
1136047,difference between a company's strategy and business model is,difference between a company's strategy and business model in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?","why did the ancient egyptians call their land kemet, or black land, specifically in the nile valley region?",Location Specification,Added 'specifically in the nile valley region' to clarify the geographical context of the query.,True,high
118440,define bmt medical,define bmt medical in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
121171,define etruscans,define etruscans in ancient italy,Location Specification,Added 'in ancient italy' to specify the geographical context of the Etruscans.,True,high
135802,definition of laudable,definition of laudable,Location Specification,The pattern is not applicable as the query does not involve a location or geographical context.,False,high
