qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow over time,Temporal Adjustment,Added 'over time' to better reflect the temporal aspect of the growth process.,True,high
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1063750,why did the us volunterilay enter ww1,why did the us enter ww1,Temporal Adjustment,Removed 'volunterilay' as it is not a standard term and does not accurately reflect the time frame or manner of entry into WWI.,True,high
130510,definition declaratory judgment,definition of declaratory judgment,Temporal Adjustment,The original query does not contain any explicit temporal terms to adjust. The reformulation maintains the original intent without altering the time frame.,False,high
489204,right pelvic pain causes,right pelvic pain causes currently,Temporal Adjustment,Added 'currently' to reflect a more relevant time frame for the user's intent.,True,high
573724,what are the social determinants of health,what are the current social determinants of health,Temporal Adjustment,"The term 'current' was added to reflect a more accurate and relevant time frame, aligning with the user's likely intent to understand the present state of social determinants of health.",True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila currently cause pneumonia,Temporal Adjustment,"Added 'currently' to reflect a more accurate and relevant time frame, aligning with the user's intent.",True,high
1133167,how is the weather in jamaica,what is the current weather like in jamaica,Temporal Adjustment,Adjusted 'is' to 'current' to better reflect a more accurate and relevant time frame for the user's intent.,True,high
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1037798,who is robert gray,who is robert gray,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
915593,what types of food can you cook sous vide,what types of food can you cook sous vide,Temporal Adjustment,The original query does not contain any time-related terms that could be adjusted to better align with the user's intent.,False,high
264014,how long is life cycle of flea,how long does a flea's life cycle last,Temporal Adjustment,The phrase 'is life cycle' was changed to 'does life cycle last' to better reflect the duration of the flea's life cycle.,True,high
1121402,what can contour plowing reduce,what can contour plowing reduce today,Temporal Adjustment,Added 'today' to reflect a current or relevant time frame.,True,high
962179,when was the salvation army founded,when was the salvation army established,Temporal Adjustment,Changed 'founded' to 'established' to better align with the user's intent of understanding the creation of the organization.,True,high
1117099,what is a active margin,what is an active margin,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted. The term 'active' in this context refers to a geological concept and not a temporal aspect.,False,high
148538,difference between rn and bsn,difference between rn and bsn,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
451602,medicare's definition of mechanical ventilation,medicare's current definition of mechanical ventilation,Temporal Adjustment,Added 'current' to reflect a more accurate and relevant time frame.,True,high
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
1115776,what is an aml surveillance analyst,what is an aml surveillance analyst,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1112341,what is the daily life of thai people,what is the current daily life of thai people,Temporal Adjustment,Added 'current' to specify that the user is interested in the present-day lifestyle.,True,high
