qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow larger,Clarify Subject,The main subject 'goldfish' was refined to 'goldfish grow larger' to better reflect the user's intent of understanding growth in size.,True,high
1110199,what is wifi vs bluetooth,what are the differences between wifi and bluetooth,Clarify Subject,The main subject was refined to clearly focus on the comparison between WiFi and Bluetooth.,True,high
1063750,why did the us volunterilay enter ww1,why did the united states voluntarily enter world war 1,Clarify Subject,The main subject 'us' was clarified to 'united states' and 'ww1' was expanded to 'world war 1' for better representation.,True,high
130510,definition declaratory judgment,what is a declaratory judgment,Clarify Subject,The main subject 'definition declaratory judgment' was refined to 'what is a declaratory judgment' to better reflect the user's intent of understanding what a declaratory judgment is.,True,high
489204,right pelvic pain causes,causes of right pelvic pain,Clarify Subject,"The main subject 'right pelvic pain' was clarified to focus on its causes, ensuring the query accurately represents the user's intent.",True,high
573724,what are the social determinants of health,what are the key factors that influence health outcomes,Clarify Subject,The main subject 'social determinants of health' was refined to 'key factors that influence health outcomes' to better reflect the user's intent.,True,high
168216,does legionella pneumophila cause pneumonia,is legionella pneumophila a cause of pneumonia,Clarify Subject,The main subject 'legionella pneumophila' was clarified to explicitly state the relationship with pneumonia.,True,high
1133167,how is the weather in jamaica,what is the current weather like in jamaica,Clarify Subject,The main subject 'weather' was refined to 'current weather' to better reflect the user's intent of understanding the present conditions.,True,high
527433,types of dysarthria from cerebral palsy,what are the types of dysarthria associated with cerebral palsy,Clarify Subject,The main subject 'types of dysarthria from cerebral palsy' was refined to 'the types of dysarthria associated with cerebral palsy' to better reflect the user's intent.,True,high
1037798,who is robert gray,who is robert gray,Clarify Subject,"The subject 'robert gray' is already clear and specific, so no further clarification is needed.",False,high
915593,what types of food can you cook sous vide,what kinds of food are suitable for sous vide cooking,Clarify Subject,The main subject 'types of food' was refined to 'kinds of food are suitable' to better reflect the user's intent.,True,high
264014,how long is life cycle of flea,what is the life cycle duration of a flea,Clarify Subject,The main subject 'life cycle of flea' was refined to 'life cycle duration of a flea' to better reflect the user's intent.,True,high
1121402,what can contour plowing reduce,what can contour plowing reduce in soil erosion,Clarify Subject,"The main subject 'contour plowing' was refined to specify its effect on 'soil erosion', which is a common and specific context for this practice.",True,high
962179,when was the salvation army founded,when was the salvation army organization founded,Clarify Subject,The main subject 'salvation army' was refined to 'salvation army organization' to better reflect the user's intent.,True,high
1117099,what is a active margin,what is an active tectonic margin,Clarify Subject,The main subject 'active margin' was refined to 'active tectonic margin' to better reflect the user's intent.,True,high
148538,difference between rn and bsn,difference between registered nurse (RN) and bachelor of science in nursing (BSN),Clarify Subject,The main subjects 'rn' and 'bsn' were expanded to their full forms to better reflect the user's intent.,True,high
451602,medicare's definition of mechanical ventilation,what is medicare's definition of mechanical ventilation,Clarify Subject,The main subject 'medicare's definition of mechanical ventilation' was clarified to ensure it accurately represents the user's intent by explicitly asking for the definition.,True,high
359349,how to find the midsegment of a trapezoid,how to determine the midsegment of a trapezoid,Clarify Subject,Replaced 'find' with 'determine' to more accurately reflect the user's intent in understanding the method.,True,high
1115776,what is an aml surveillance analyst,what does an aml surveillance analyst do,Clarify Subject,The main subject 'aml surveillance analyst' was refined to better reflect the user's intent by specifying what they do.,True,high
1112341,what is the daily life of thai people,what is the daily life of people in Thailand,Clarify Subject,The main subject 'thai people' was refined to 'people in Thailand' to better reflect the user's intent.,True,high
131843,definition of a sigmet,what is a sigmet in aviation,Clarify Subject,The main subject 'sigmet' was clarified to specify its context within aviation.,True,high
104861,cost of interior concrete flooring,cost of interior concrete floor installation,Clarify Subject,The main subject 'interior concrete flooring' was refined to 'interior concrete floor installation' to better reflect the user's intent regarding the cost associated with the process.,True,high
833860,what is the most popular food in switzerland,what are the most popular foods in switzerland,Clarify Subject,The main subject 'most popular food' was refined to 'most popular foods' to better reflect the user's intent of understanding a broader range of popular dishes.,True,high
207786,how are some sharks warm blooded,which sharks are warm blooded,Clarify Subject,The main subject 'some sharks' was refined to 'which sharks' to better reflect the user's intent of identifying specific types of sharks that are warm-blooded.,True,high
1114819,what is durable medical equipment consist of,what does durable medical equipment consist of,Clarify Subject,The main subject 'durable medical equipment' was clarified to better reflect the user's intent by adding 'does...consist of'.,True,high
183378,exons definition biology,what is the definition of exons in biology,Clarify Subject,The main subject 'exons' was clarified to ensure it is accurately represented by specifying its context within biology.,True,high
1106007,define visceral?,what is the definition of visceral,Clarify Subject,The main subject 'visceral' was clarified to explicitly ask for its definition.,True,high
1124210,tracheids are part of _____.,tracheids are part of which plant tissue,Clarify Subject,The main subject 'tracheids' is clarified by specifying that the query is about identifying the type of plant tissue they belong to.,True,high
490595,rsa definition key,what is rsa key definition,Clarify Subject,The main subject 'rsa definition key' was refined to 'what is rsa key definition' to better reflect the user's intent of understanding the definition of an RSA key.,True,high
1103812,who formed the commonwealth of independent states,who established the commonwealth of independent states,Clarify Subject,Replaced 'formed' with 'established' to more accurately reflect the action of creating the Commonwealth of Independent States.,True,high
