qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who are notable figures in business leadership,Generalization,The specific name 'Aziz Hashim' was replaced with a more general term 'notable figures in business leadership' to broaden the query.,True,high
1037496,who is rep scalise?,who are prominent republican representatives?,Generalization,The specific name 'Rep Scalise' was replaced with a more general term 'prominent republican representatives' to broaden the query.,True,high
1043135,who killed nicholas ii of russia,who was responsible for the death of russian royalty,Generalization,The specific term 'Nicholas II' was replaced with 'Russian royalty' to broaden the query while maintaining the intent of inquiring about responsibility for a significant historical event.,True,high
1051399,who sings monk theme song,who performs theme songs for tv shows,Generalization,The specific term 'monk' was replaced with a more general term 'tv shows' to broaden the query.,True,high
1064670,why do hunters pattern their shotguns?,why do people modify their firearms?,Generalization,"The specific term 'hunters' was replaced with the more general term 'people', and 'pattern their shotguns' was generalized to 'modify their firearms'.",True,high
1071750,why is pete rose banned from hall of fame,why are certain players excluded from the hall of fame,Generalization,Replaced 'pete rose' with 'certain players' to broaden the query to cover a wider range of related scenarios.,True,high
1105792,define: geon,define geological terms,Generalization,The term 'geon' was replaced with a more general category 'geological terms' to broaden the query.,True,high
1106979,define pareto chart in statistics,explain statistical charts used for data analysis,Generalization,The term 'Pareto chart' was replaced with a more general term 'statistical charts' to broaden the scope of the query while maintaining the intent of understanding a specific type of chart in statistics.,True,high
1108651,what the best way to get clothes white,what are effective methods to clean clothes,Generalization,Replaced 'best way' with 'effective methods' and 'white' with 'clean' to broaden the query to cover a wider range of cleaning techniques.,True,high
1109707,what medium do radio waves travel through,what mediums do electromagnetic waves travel through,Generalization,Replaced 'radio waves' with 'electromagnetic waves' to encompass a broader category of waves.,True,high
1110678,what is the un fao,what are international organizations focused on food and agriculture,Generalization,Replaced 'UN FAO' with a more general term to encompass a broader category of related organizations.,True,high
1113256,what is reba mcentire's net worth,what is the net worth of famous country music singers,Generalization,Replaced 'Reba McEntire' with 'famous country music singers' to broaden the query.,True,high
1115210,what is chaff and flare,what are countermeasures used in military aviation,Generalization,Replaced 'chaff and flare' with 'countermeasures' to broaden the query to cover a wider range of related topics.,True,high
1116380,what is a nonconformity? earth science,what are nonconformities in geology?,Generalization,The term 'earth science' was replaced with 'geology' to broaden the scope while maintaining relevance to the original query.,True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what can be done about workplace discrimination,Generalization,The specific location 'Oklahoma City' was removed to broaden the query to a wider range of locations.,True,high
1122767,what amino produces carnitine,which amino acids are involved in carnitine synthesis,Generalization,The specific term 'amino' was replaced with 'amino acids' to encompass a broader category of related compounds.,True,high
1127540,meaning of shebang,what does shebang refer to in programming,Generalization,The term 'meaning' was replaced with a more general phrase 'refer to' and the context was broadened to include 'programming' to cover a wider range of related topics.,True,high
1131069,how many sons robert kraft has,how many children robert kraft has,Generalization,The term 'sons' was replaced with 'children' to broaden the query and include all offspring.,True,high
