qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,what are aziz hashim's notable achievements,Clarify Intent,The query was rephrased to directly address the user's likely intent of finding out significant information or accomplishments about Aziz Hashim.,True,high
1037496,who is rep scalise?,what are the key facts about representative steve scalise,Clarify Intent,"The query was rephrased to directly address the user's need for information about Representative Steve Scalise, making it more specific and actionable.",True,high
1043135,who killed nicholas ii of russia,who was responsible for the death of nicholas ii of russia,Clarify Intent,The query was rephrased to directly address the user's intent of finding out who was responsible for Nicholas II's death.,True,high
1051399,who sings monk theme song,who performs the theme song for monk,Clarify Intent,The query was rephrased to directly address the user's intended action of identifying the performer of the Monk theme song.,True,high
1064670,why do hunters pattern their shotguns?,what are the benefits of patterning shotguns for hunters,Clarify Intent,"The query was rephrased to directly address the intended action or information need, focusing on the benefits and purpose of patterning shotguns.",True,high
1071750,why is pete rose banned from hall of fame,what are the reasons for pete rose's ban from the hall of fame,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific reasons behind Pete Rose's ban.,True,high
1105792,define: geon,what does geon mean,Clarify Intent,The query was rephrased to directly address the user's intent of understanding the definition or meaning of 'geon'.,True,high
1106979,define pareto chart in statistics,what is a pareto chart used for in statistical analysis,Clarify Intent,The query was rephrased to directly address the user's intended action of understanding the purpose and application of a Pareto chart in statistics.,True,high
1108651,what the best way to get clothes white,how to effectively whiten clothes,Clarify Intent,The query was rephrased to directly address the user's intended action of whitening clothes.,True,high
1109707,what medium do radio waves travel through,what material can radio waves travel through,Clarify Intent,"The query was rephrased to directly address the user's intended information need, focusing on the materials or mediums through which radio waves can propagate.",True,high
1110678,what is the un fao,what does the un fao do,Clarify Intent,The reformulated query directly addresses the user's intent to understand the purpose and functions of the UN FAO.,True,high
1113256,what is reba mcentire's net worth,what is reba mcentire's current net worth,Clarify Intent,The query was made more direct by specifying 'current' to address the user's intent of finding the most up-to-date information.,True,high
1115210,what is chaff and flare,what are chaff and flare used for in military aircraft,Clarify Intent,"The reformulated query directly addresses the user's likely intent to understand the purpose or application of chaff and flare, particularly in a military context.",True,high
1116380,what is a nonconformity? earth science,define nonconformity in earth science,Clarify Intent,"The query was rephrased to directly ask for a definition of nonconformity within the context of earth science, making it more direct and actionable.",True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,how can i address or report workplace discrimination in oklahoma city,Clarify Intent,The query was rephrased to directly address the user's intended action of addressing or reporting workplace discrimination.,True,high
1122767,what amino produces carnitine,which amino acid is required for carnitine production,Clarify Intent,"The query was rephrased to directly address the specific amino acid involved in carnitine production, making it more direct and actionable.",True,high
1127540,meaning of shebang,what does shebang mean in programming,Clarify Intent,The query was rephrased to directly address the user's intended action of understanding the meaning of 'shebang' specifically in the context of programming.,True,high
1131069,how many sons robert kraft has,what is the number of sons robert kraft has,Clarify Intent,The query was rephrased to directly address the user's need for a specific count of Robert Kraft's sons.,True,high
1132532,average annual income data analyst,what is the average annual income for a data analyst,Clarify Intent,"The query was rephrased to directly ask for the specific information needed, making it more direct and actionable.",True,high
1133579,how does granulation tissue start,what triggers the formation of granulation tissue,Clarify Intent,"The query was rephrased to directly address the user's intended action or information need, focusing on what initiates the process.",True,high
1136043,difference between a hotel and motel,what are the key differences between hotels and motels,Clarify Intent,The query was rephrased to directly address the user's need for information on the specific differences between hotels and motels.,True,high
1136047,difference between a company's strategy and business model is,what are the key differences between a company's strategy and its business model,Clarify Intent,The query was rephrased to directly address the user's need for understanding the specific differences between a company's strategy and business model.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?",what was the significance of calling ancient egypt kemet or black land,Clarify Intent,The reformulated query directly addresses the user's intent to understand the significance behind the name 'Kemet' or 'Black Land'.,True,high
118440,define bmt medical,what does bmt stand for in medical terms,Clarify Intent,The query was rephrased to directly address the user's need to understand what BMT stands for in a medical context.,True,high
121171,define etruscans,what are the key characteristics of the etruscan civilization,Clarify Intent,"The query was rephrased to directly address the user's need for information about the Etruscans, focusing on their defining features and characteristics.",True,high
135802,definition of laudable,what does laudable mean,Clarify Intent,"The query was rephrased to directly ask for the meaning of 'laudable', making it more direct and actionable.",True,high
141630,describe how muscles and bones work together to produce movement,what are the specific mechanisms by which muscles and bones interact to facilitate movement,Clarify Intent,The query was rephrased to directly address the user's need for understanding the specific mechanisms of muscle and bone interaction in producing movement.,True,high
156498,do google docs auto save,how does google docs auto save work,Clarify Intent,"The query was rephrased to directly address how Google Docs' auto-save feature functions, making it more specific and actionable.",True,high
169208,does mississippi have an income tax,what are the income tax rates in mississippi,Clarify Intent,"The query was rephrased to directly address the user's need for information about Mississippi's income tax, making it more specific and actionable.",True,high
174463,dog day afternoon meaning,what does 'dog day afternoon' mean,Clarify Intent,"The query was rephrased to directly ask for the meaning of the phrase, making it more direct and actionable.",True,high
23849,are naturalization records public information,how can I access naturalization records as public information,Clarify Intent,"The query was rephrased to directly address the user's intent of accessing naturalization records, making it more actionable.",True,high
258062,how long does it take to remove wisdom tooth,what is the average time for wisdom tooth extraction,Clarify Intent,The query was rephrased to directly address the user's need for information about the duration of the procedure.,True,high
324585,how much money do motivational speakers make,what is the average salary for motivational speakers,Clarify Intent,The query was rephrased to directly address the user's intent of finding out the earnings of motivational speakers.,True,high
330975,how much would it cost to install my own wind turbine,what are the costs associated with installing a personal wind turbine,Clarify Intent,The query was rephrased to directly address the user's need for information on the specific costs related to installing a personal wind turbine.,True,high
332593,how often to button quail lay eggs,what is the egg-laying frequency of button quail,Clarify Intent,The query was rephrased to directly address the user's need for information about how often button quail lay eggs.,True,high
336901,how old is vanessa redgrave,what is vanessa redgrave's current age,Clarify Intent,"The query was rephrased to directly ask for Vanessa Redgrave's current age, making it more direct and actionable.",True,high
390360,ia suffix meaning,what does the ia suffix mean,Clarify Intent,"The query was rephrased to directly ask for the meaning of the 'ia' suffix, making it more direct and actionable.",True,high
405163,is caffeine an narcotic,what are the legal classifications of caffeine,Clarify Intent,The reformulated query directly addresses the user's intent to understand if caffeine is classified as a narcotic by asking about its legal classifications.,True,high
42255,average salary for dental hygienist in nebraska,what is the average salary for a dental hygienist in nebraska,Clarify Intent,"The query was rephrased to directly ask for the specific information needed, making it more direct and actionable.",True,high
47210,average wedding dress alteration cost,how much does it cost to alter a wedding dress,Clarify Intent,The query was rephrased to directly address the user's need for information on the specific cost of altering a wedding dress.,True,high
555530,what are best foods to lower cholesterol,which foods are most effective for lowering cholesterol,Clarify Intent,The query was rephrased to directly address the user's intent of finding specific foods that are known to be effective in lowering cholesterol.,True,high
583468,what carvedilol used for,what conditions does carvedilol treat,Clarify Intent,The query was rephrased to directly address the user's need for information about the medical conditions treated by carvedilol.,True,high
640502,what does it mean if your tsh is low,what health issues can arise from low tsh levels,Clarify Intent,"The query was rephrased to directly address the potential health implications of having a low TSH level, making it more specific and actionable.",True,high
67316,can fever cause miscarriage early pregnancy,can a fever during early pregnancy increase the risk of miscarriage,Clarify Intent,The query was rephrased to directly address the user's concern about the relationship between fever and the risk of miscarriage in early pregnancy.,True,high
673670,what is a alm,what does alm stand for in finance,Clarify Intent,"The query was rephrased to directly address the user's intended action of understanding what 'alm' stands for, assuming it is in the context of finance.",True,high
701453,what is a statutory deed,what are the legal requirements for a statutory deed,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific legal aspects of a statutory deed.,True,high
730539,what is chronometer who invented it,who invented the chronometer and what is its purpose,Clarify Intent,"The query was rephrased to directly address both the inventor of the chronometer and its intended use, making it more direct and actionable.",True,high
768208,what is mamey,what are the nutritional benefits of mamey,Clarify Intent,"The query was rephrased to directly address a common information need related to mamey, which is understanding its nutritional value.",True,high
877809,what metal are hip replacements made of,what metals are used in hip replacement surgery,Clarify Intent,The query was rephrased to directly address the specific information need regarding the types of metals used in hip replacements.,True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what internal conflict does della experience in o. henry's the gift of the magi,Clarify Intent,"The query was rephrased to directly address the specific type of conflict (internal) that Della faces, making it more direct and actionable.",True,high
914916,what type of tissue are bronchioles,what type of tissue do bronchioles consist of,Clarify Intent,"The query was rephrased to directly address the user's intended action or information need, specifying that the user wants to know the type of tissue that makes up bronchioles.",True,high
938400,when did family feud come out?,what year did family feud first air?,Clarify Intent,The query was rephrased to directly address the user's need for the specific year when Family Feud first aired.,True,high
940547,when did rock n roll begin?,what year did rock n roll music originate,Clarify Intent,The query was rephrased to directly address the user's need for a specific time period when rock n roll began.,True,high
997622,where is the show shameless filmed,what is the filming location of the show shameless,Clarify Intent,"The query was rephrased to directly ask for the specific information needed, which is the filming location of the show 'Shameless'.",True,high
