qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim,Semantic Clarification,The name 'aziz hashim' is already specific and does not contain ambiguous terms that need clarification.,False,high
1037496,who is rep scalise?,who is representative steve scalise,Semantic Clarification,Replaced 'rep' with 'representative' to clarify the role and added the first name for precision.,True,high
1043135,who killed nicholas ii of russia,who assassinated nicholas ii of russia,Semantic Clarification,Replaced 'killed' with 'assassinated' to clarify that Nicholas II was killed in a politically motivated act.,True,high
1051399,who sings monk theme song,who performs the monk theme song,Semantic Clarification,Replaced 'sings' with 'performs' to clarify the action and make it more precise.,True,high
1064670,why do hunters pattern their shotguns?,why do hunters adjust their shotgun patterns,Semantic Clarification,Replaced 'pattern' with 'adjust their shotgun patterns' to clarify the specific action and context of what hunters do.,True,high
1071750,why is pete rose banned from hall of fame,why is pete rose ineligible for hall of fame induction,Semantic Clarification,Replaced 'banned' with 'ineligible for induction' to clarify the specific reason and context of his exclusion.,True,high
1105792,define: geon,definition of geon,Semantic Clarification,Replaced 'define:' with 'definition of' to make the query more specific and understandable.,True,high
1106979,define pareto chart in statistics,definition of pareto chart in statistical analysis,Semantic Clarification,Replaced 'define' with 'definition of' and added 'statistical analysis' to provide more context.,True,high
1108651,what the best way to get clothes white,what is the best method to make clothes white,Semantic Clarification,Replaced 'way' with 'method' and 'get' with 'make' to clarify the action and intent of the query.,True,high
1109707,what medium do radio waves travel through,what medium do radio waves propagate through,Semantic Clarification,Replaced 'travel' with 'propagate' to be more precise and contextually relevant.,True,high
1110678,what is the un fao,what is the united nations food and agriculture organization,Semantic Clarification,Replaced 'un fao' with its full name 'United Nations Food and Agriculture Organization' to clarify the ambiguous acronym.,True,high
1113256,what is reba mcentire's net worth,what is reba mcentire's current financial worth,Semantic Clarification,Replaced 'net worth' with 'current financial worth' to make the query more specific and understandable.,True,high
1115210,what is chaff and flare,what are chaff and flare countermeasures,Semantic Clarification,Replaced 'chaff and flare' with 'chaff and flare countermeasures' to clarify the context of these terms as military countermeasures.,True,high
1116380,what is a nonconformity? earth science,definition of nonconformity in earth science,Semantic Clarification,Replaced 'what is' with 'definition of' and added 'in earth science' to specify the context.,True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what specific actions can be taken to address workplace discrimination in oklahoma city,Semantic Clarification,Replaced 'what can you do' with 'what specific actions can be taken' to clarify the type of information being sought.,True,high
1122767,what amino produces carnitine,which amino acid produces carnitine,Semantic Clarification,Replaced 'amino' with 'amino acid' to clarify the specific type of molecule being referred to.,True,high
1127540,meaning of shebang,definition of shebang in programming,Semantic Clarification,Replaced 'meaning' with 'definition' and added context 'in programming' to clarify the specific usage of 'shebang'.,True,high
1131069,how many sons robert kraft has,how many male children does robert kraft have,Semantic Clarification,Replaced 'sons' with 'male children' to clarify and specify the query.,True,high
1132532,average annual income data analyst,average annual salary for data analyst,Semantic Clarification,Replaced 'income' with 'salary' to be more specific and contextually relevant.,True,high
1133579,how does granulation tissue start,how does granulation tissue formation begin,Semantic Clarification,Replaced 'start' with 'formation begin' to clarify the process of initiation.,True,high
1136043,difference between a hotel and motel,difference between a hotel and a motel,Semantic Clarification,"The terms 'hotel' and 'motel' are already specific and contextually relevant, so no changes were necessary.",False,high
1136047,difference between a company's strategy and business model is,what is the distinction between a company's strategic plan and its business model,Semantic Clarification,Replaced 'difference' with 'distinction' and 'strategy' with 'strategic plan' to make the query more specific and clear.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?","why did the ancient egyptians refer to their land as kemet, or the black land?",Semantic Clarification,Replaced 'call' with 'refer to' and added 'the' before 'black land' for clarity.,True,high
118440,define bmt medical,definition of bmt in medical context,Semantic Clarification,Replaced 'define' with 'definition of' and added 'in medical context' to clarify the specific field.,True,high
121171,define etruscans,definition of etruscan civilization,Semantic Clarification,Replaced 'define' with 'definition of' and added 'civilization' to provide more context.,True,high
135802,definition of laudable,definition of laudable in a moral context,Semantic Clarification,Added 'in a moral context' to provide more specific and relevant context for the term 'laudable'.,True,high
141630,describe how muscles and bones work together to produce movement,explain the interaction between skeletal muscles and bones to facilitate movement,Semantic Clarification,"Replaced 'describe' with 'explain' for a more direct request, and specified 'skeletal muscles' instead of just 'muscles' to clarify the type of muscle involved.",True,high
156498,do google docs auto save,does google docs automatically save changes,Semantic Clarification,Replaced 'do' with 'does' and added 'changes' to clarify the action of saving in Google Docs.,True,high
169208,does mississippi have an income tax,does mississippi impose a state income tax,Semantic Clarification,Replaced 'have' with 'impose a state income tax' to clarify the specific type of tax and the governing body.,True,high
174463,dog day afternoon meaning,what does 'dog day afternoon' mean,Semantic Clarification,Replaced the vague term 'meaning' with a more specific and contextually relevant phrase 'what does...mean'.,True,high
23849,are naturalization records public information,are naturalization records considered public documents,Semantic Clarification,Replaced 'public information' with 'considered public documents' to clarify the nature of the records.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to extract a wisdom tooth,Semantic Clarification,Replaced 'remove' with 'extract' to specify the dental procedure more precisely.,True,high
324585,how much money do motivational speakers make,average earnings of motivational speakers,Semantic Clarification,Replaced 'how much money do' with 'average earnings of' to clarify and specify the query.,True,high
330975,how much would it cost to install my own wind turbine,what is the cost to install a personal wind turbine,Semantic Clarification,Replaced 'my own' with 'personal' and 'how much would it cost' with 'what is the cost' to make the query more specific.,True,high
332593,how often to button quail lay eggs,how frequently do button quail lay eggs,Semantic Clarification,Replaced 'often' with 'frequently' to clarify the frequency aspect of the query.,True,high
336901,how old is vanessa redgrave,what is vanessa redgrave's age,Semantic Clarification,Replaced 'how old' with 'what is...age' to make the query more specific and clear.,True,high
390360,ia suffix meaning,meaning of ia suffix,Semantic Clarification,Rephrased 'ia suffix meaning' to 'meaning of ia suffix' for clarity and specificity.,True,high
405163,is caffeine an narcotic,is caffeine a controlled substance,Semantic Clarification,Replaced 'narcotic' with 'controlled substance' to clarify the legal and medical context of the query.,True,high
42255,average salary for dental hygienist in nebraska,average salary for dental hygienist in nebraska,Semantic Clarification,"The term 'salary' is already specific and clear, and there are no ambiguous terms that need clarification.",False,high
47210,average wedding dress alteration cost,average cost of altering a wedding dress,Semantic Clarification,Replaced 'wedding dress alteration' with 'altering a wedding dress' to make the action more specific and clear.,True,high
555530,what are best foods to lower cholesterol,which foods are most effective for reducing cholesterol levels,Semantic Clarification,Replaced 'best' with 'most effective' and added 'levels' to specify the context of lowering cholesterol.,True,high
583468,what carvedilol used for,what is carvedilol used for,Semantic Clarification,The term 'used for' was clarified to make the query more specific and understandable.,True,high
640502,what does it mean if your tsh is low,what does a low tsh level indicate,Semantic Clarification,Replaced 'if your tsh is low' with 'a low tsh level indicate' to make the query more specific and clear.,True,high
67316,can fever cause miscarriage early pregnancy,can a high body temperature during early pregnancy cause miscarriage,Semantic Clarification,Replaced 'fever' with 'a high body temperature' to clarify the condition and added 'during' for better context.,True,high
673670,what is a alm,what is asset lifecycle management,Semantic Clarification,Replaced 'alm' with 'asset lifecycle management' to clarify the ambiguous term.,True,high
701453,what is a statutory deed,definition of a statutory deed,Semantic Clarification,Replaced 'what is' with 'definition of' to make the query more specific and clear.,True,high
730539,what is chronometer who invented it,what is a chronometer and who invented it,Semantic Clarification,"The term 'chronometer' was clarified by adding 'a' before it, and the query structure was slightly adjusted to make it more specific and understandable.",True,high
768208,what is mamey,what is a mamey fruit,Semantic Clarification,"The term 'mamey' was clarified to specify it as a fruit, making the query more precise and understandable.",True,high
877809,what metal are hip replacements made of,what materials are used in hip replacements,Semantic Clarification,"Replaced 'metal' with 'materials' to clarify that the query is about all types of materials, not just metals.",True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of internal conflict does della face in o. henry's the gift of the magi,Semantic Clarification,Clarified 'conflict' to specify it as 'internal conflict' to make the query more precise and contextually relevant.,True,high
914916,what type of tissue are bronchioles,what type of respiratory tissue are bronchioles,Semantic Clarification,The term 'tissue' was clarified to 'respiratory tissue' to provide more context and specificity.,True,high
938400,when did family feud come out?,when was the first episode of family feud aired?,Semantic Clarification,Replaced 'come out' with 'first episode aired' to clarify the specific event being asked about.,True,high
940547,when did rock n roll begin?,when did rock and roll music originate?,Semantic Clarification,Replaced 'begin' with 'originate' to clarify the specific point of origin for rock and roll music.,True,high
997622,where is the show shameless filmed,where is the tv show shameless filmed,Semantic Clarification,Added 'tv show' to clarify that 'shameless' refers to a television series.,True,high
