qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim nrs holdings,Contextual Expansion,Added 'nrs holdings' to provide context about Aziz Hashim's association with the company.,True,high
1037496,who is rep scalise?,who is representative steve scalise from louisiana,Contextual Expansion,Added 'representative' and 'from louisiana' to provide more context about the individual being searched for.,True,high
1043135,who killed nicholas ii of russia,who killed nicholas ii of russia during the russian revolution,Contextual Expansion,Added 'during the russian revolution' to provide historical context and refine the search results.,True,high
1051399,who sings monk theme song,who sings the theme song for the tv show monk,Contextual Expansion,Added 'for the tv show' to provide more context and specificity.,True,high
1064670,why do hunters pattern their shotguns?,why do hunters pattern their shotguns for optimal performance,Contextual Expansion,Added 'for optimal performance' to provide more context on the purpose of patterning shotguns.,True,high
1071750,why is pete rose banned from hall of fame,why is pete rose banned from hall of fame due to gambling allegations,Contextual Expansion,Added 'due to gambling allegations' to provide more specific context about the reason for Pete Rose's ban.,True,high
1105792,define: geon,definition of geon in cognitive psychology,Contextual Expansion,"Added 'in cognitive psychology' to provide context and specificity, as 'geon' is a term often used in this field.",True,high
1106979,define pareto chart in statistics,define pareto chart in statistics with examples of its application,Contextual Expansion,Added a request for examples of the Pareto chart's application to provide more context and refine the search results.,True,high
1108651,what the best way to get clothes white,what is the best way to get clothes white using natural methods,Contextual Expansion,Added 'using natural methods' to provide more specific context on the type of whitening method desired.,True,high
1109707,what medium do radio waves travel through,what medium do radio waves travel through in different environments,Contextual Expansion,Added 'in different environments' to provide more context and refine the search results.,True,high
1110678,what is the un fao,what is the un fao's role in global food security,Contextual Expansion,Added context about the UN FAO's role to make the query more specific and focused.,True,high
1113256,what is reba mcentire's net worth,what is reba mcentire's net worth as of 2023,Contextual Expansion,Added a specific year to provide more context and refine the search results.,True,high
1115210,what is chaff and flare,what are chaff and flare used for in military aircraft,Contextual Expansion,Added context about the use of chaff and flare in military aircraft to make the query more specific.,True,high
1116380,what is a nonconformity? earth science,what is a nonconformity in earth science geology,Contextual Expansion,Added 'geology' to provide more specific context within earth science.,True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what can you do about discrimination in the workplace in oklahoma city including legal options and local resources,Contextual Expansion,Added 'including legal options and local resources' to provide more specific context for refining search results.,True,high
1122767,what amino produces carnitine,which amino acid is involved in the production of carnitine,Contextual Expansion,Added 'acid' and 'involved in the production of' to provide more specific context about the role of the amino acid.,True,high
1127540,meaning of shebang,meaning of shebang in programming,Contextual Expansion,Added 'in programming' to provide context that 'shebang' is a term used in this field.,True,high
1131069,how many sons robert kraft has,how many sons does robert kraft have and their names,Contextual Expansion,Added a request for the names of Robert Kraft's sons to provide more specific context.,True,high
1132532,average annual income data analyst,average annual income for data analyst by location,Contextual Expansion,"Added 'by location' to provide more specific context, helping to refine search results based on geographical differences.",True,high
1133579,how does granulation tissue start,how does granulation tissue start during wound healing,Contextual Expansion,Added 'during wound healing' to provide more specific context about the process of granulation tissue formation.,True,high
1136043,difference between a hotel and motel,difference between a hotel and motel in terms of amenities and services,Contextual Expansion,Added specific context regarding amenities and services to refine the search results.,True,high
1136047,difference between a company's strategy and business model is,difference between a company's strategy and business model in terms of implementation and outcomes,Contextual Expansion,Added 'in terms of implementation and outcomes' to provide more specific context on the aspects being compared.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?","why did the ancient egyptians call their land kemet, or black land, and what significance did this name have in relation to the Nile River?",Contextual Expansion,Added context about the significance of the name 'Kemet' in relation to the Nile River to make the query more specific.,True,high
118440,define bmt medical,definition of bmt in medical terminology,Contextual Expansion,Added 'in medical terminology' to provide more specific context for the definition.,True,high
121171,define etruscans,define etruscans ancient italy,Contextual Expansion,Added 'ancient italy' to provide context about the geographical and historical setting of the Etruscans.,True,high
135802,definition of laudable,definition of laudable in a professional context,Contextual Expansion,Added 'in a professional context' to provide more specific context for the definition.,True,high
141630,describe how muscles and bones work together to produce movement,describe how muscles and bones work together to produce movement in the human body,Contextual Expansion,Added 'in the human body' to provide more specific context to the query.,True,high
156498,do google docs auto save,do google docs auto save changes without manual intervention,Contextual Expansion,Added context to specify that the query is about automatic saving of changes without requiring user action.,True,high
169208,does mississippi have an income tax,does mississippi have a state income tax for residents,Contextual Expansion,Added 'state' and 'for residents' to provide more specific context about the type of income tax being inquired.,True,high
174463,dog day afternoon meaning,meaning of dog day afternoon in film,Contextual Expansion,Added 'in film' to provide context that the query is about the meaning of the phrase in the context of a movie.,True,high
23849,are naturalization records public information,are naturalization records public information in the united states,Contextual Expansion,Added 'in the united states' to provide a specific context for the search.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to remove wisdom tooth including recovery time,Contextual Expansion,Added 'including recovery time' to provide more specific context about the duration of interest.,True,high
324585,how much money do motivational speakers make,average annual income for motivational speakers in the united states,Contextual Expansion,Added 'average annual income' and 'in the united states' to provide more specific context.,True,high
330975,how much would it cost to install my own wind turbine,how much would it cost to install a residential wind turbine for home energy,Contextual Expansion,Added 'residential' and 'for home energy' to provide more specific context about the type of wind turbine and its purpose.,True,high
332593,how often to button quail lay eggs,how often do button quail lay eggs in a typical breeding season,Contextual Expansion,Added 'in a typical breeding season' to provide more specific context about the timing of egg-laying.,True,high
336901,how old is vanessa redgrave,vanessa redgrave's age as of 2023,Contextual Expansion,Added a specific year to provide context and ensure the most current information is retrieved.,True,high
390360,ia suffix meaning,meaning of ia suffix in linguistics,Contextual Expansion,Added 'in linguistics' to provide more context and specificity to the query.,True,high
405163,is caffeine an narcotic,is caffeine classified as a narcotic under drug laws,Contextual Expansion,Added context about legal classification to make the query more specific.,True,high
42255,average salary for dental hygienist in nebraska,average salary for dental hygienist in nebraska with 5 years of experience,Contextual Expansion,Added a specific level of experience to refine the search results.,True,high
47210,average wedding dress alteration cost,average cost of wedding dress alterations for different styles,Contextual Expansion,Added 'for different styles' to provide more specific context about the types of alterations that might affect the average cost.,True,high
555530,what are best foods to lower cholesterol,what are the best foods to lower cholesterol for a heart-healthy diet,Contextual Expansion,Added 'for a heart-healthy diet' to provide more specific context and refine the search results.,True,high
583468,what carvedilol used for,what is carvedilol used for in treating heart conditions,Contextual Expansion,Added context about the specific use of carvedilol in treating heart conditions to make the query more precise.,True,high
640502,what does it mean if your tsh is low,what does it mean if your tsh is low in relation to thyroid function,Contextual Expansion,Added 'in relation to thyroid function' to provide more context and specificity regarding the TSH level.,True,high
67316,can fever cause miscarriage early pregnancy,can high fever during early pregnancy cause miscarriage,Contextual Expansion,Added 'high' to specify the intensity of the fever and 'during' to clarify the timing in relation to early pregnancy.,True,high
673670,what is a alm,what is alm in software development,Contextual Expansion,Added 'in software development' to provide more context and specificity to the query.,True,high
701453,what is a statutory deed,what is a statutory deed in legal documents,Contextual Expansion,Added 'in legal documents' to provide more context and specificity to the query.,True,high
730539,what is chronometer who invented it,what is a chronometer and who invented it for navigation,Contextual Expansion,Added context about the purpose of the chronometer (for navigation) to make the query more specific.,True,high
768208,what is mamey,what is mamey fruit used for,Contextual Expansion,Added context to specify that the query is about the uses of the mamey fruit.,True,high
877809,what metal are hip replacements made of,what types of metal are commonly used in hip replacements,Contextual Expansion,Added 'types of' and 'commonly used' to specify that the query is about the common metals used in hip replacements.,True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of conflict does della face with her financial situation in o henry's the gift of the magi,Contextual Expansion,Added 'with her financial situation' to provide more specific context about Della's conflict.,True,high
914916,what type of tissue are bronchioles,what type of tissue are bronchioles in the human respiratory system,Contextual Expansion,Added 'in the human respiratory system' to provide more specific context about the location and relevance of bronchioles.,True,high
938400,when did family feud come out?,when did the american version of family feud first air?,Contextual Expansion,Added 'the american version' and 'first air' to provide more specific context about which version and what specific event is being asked.,True,high
940547,when did rock n roll begin?,when did rock n roll begin as a musical genre,Contextual Expansion,Added 'as a musical genre' to provide more context and specificity to the query.,True,high
997622,where is the show shameless filmed,where is the show shameless filmed in terms of specific locations,Contextual Expansion,Added 'in terms of specific locations' to provide more context and refine the search results.,True,high
