qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow to fit their environment,Purpose Specification,"The purpose of understanding if goldfish grow is specified as growing to fit their environment, which is a common context for this query.",True,high
1110199,what is wifi vs bluetooth,what are the differences between wifi and bluetooth for wireless communication,Purpose Specification,The intended use of both technologies is specified as 'wireless communication' to make the query more focused.,True,high
1063750,why did the us volunterilay enter ww1,what were the reasons for the us voluntarily entering ww1,Purpose Specification,"The query was reformulated to specify the intended use of understanding the reasons behind the US decision, making it more focused.",True,high
130510,definition declaratory judgment,what is the purpose of a declaratory judgment,Purpose Specification,The reformulated query specifies the intended use or application of a declaratory judgment to make the query more focused.,True,high
489204,right pelvic pain causes,right pelvic pain causes for diagnosis,Purpose Specification,"The purpose of identifying the causes is specified as being for diagnosis, making the query more focused.",True,high
573724,what are the social determinants of health,how do social determinants of health impact public health outcomes,Purpose Specification,The purpose or application of understanding social determinants of health is specified to focus on their impact on public health outcomes.,True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia in humans,Purpose Specification,Specified the intended use or application by clarifying that the query is about the effect of Legionella pneumophila on humans.,True,high
1133167,how is the weather in jamaica,how is the weather in jamaica for planning a vacation,Purpose Specification,The purpose of knowing the weather (for planning a vacation) was specified to make the query more focused.,True,high
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy for diagnostic purposes,Purpose Specification,The purpose or intended use (diagnostic purposes) was specified to make the query more focused.,True,high
1037798,who is robert gray,who is robert gray and what are his contributions,Purpose Specification,"The purpose of the query was specified to focus on understanding Robert Gray's contributions, making it more focused.",True,high
915593,what types of food can you cook sous vide,what types of food are suitable for cooking sous vide,Purpose Specification,"The query was reformulated to specify the intended use of sous vide cooking, focusing on the suitability of different foods.",True,high
264014,how long is life cycle of flea,how long does a flea life cycle last for pest control purposes,Purpose Specification,"The purpose of understanding the flea life cycle is specified as being for pest control, making the query more focused.",True,high
1121402,what can contour plowing reduce,what are the purposes of contour plowing to reduce soil erosion,Purpose Specification,"The query was reformulated to specify the intended use of contour plowing, focusing on its purpose to reduce soil erosion.",True,high
962179,when was the salvation army founded,what was the purpose of founding the salvation army,Purpose Specification,"The query was transformed to specify the intended use or application, focusing on the purpose behind the founding of The Salvation Army.",True,high
1117099,what is a active margin,what is the purpose of an active margin,Purpose Specification,The reformulated query specifies the intended use or application of an active margin to make the query more focused.,True,high
148538,difference between rn and bsn,difference between rn and bsn in nursing practice,Purpose Specification,The intended use or application (nursing practice) was specified to make the query more focused.,True,high
451602,medicare's definition of mechanical ventilation,what is medicare's definition of mechanical ventilation for reimbursement purposes,Purpose Specification,The intended use or application (for reimbursement purposes) was specified to make the query more focused.,True,high
359349,how to find the midsegment of a trapezoid,how to use the midsegment of a trapezoid for geometric calculations,Purpose Specification,The purpose or application of finding the midsegment of a trapezoid is specified as being used for geometric calculations.,True,high
1115776,what is an aml surveillance analyst,what are the responsibilities of an aml surveillance analyst,Purpose Specification,"The reformulated query specifies the intended use or application by focusing on the responsibilities of the role, making it more focused.",True,high
1112341,what is the daily life of thai people,what aspects of daily life are important to thai people,Purpose Specification,"The query was reformulated to specify what aspects of daily life are being inquired about, making it more focused.",True,high
131843,definition of a sigmet,what is a sigmet used for in aviation,Purpose Specification,"The reformulated query specifies the intended use of a SIGMET, which is to provide information about weather conditions that may affect aviation safety.",True,high
104861,cost of interior concrete flooring,cost of interior concrete flooring for residential use,Purpose Specification,Specified the intended use (residential) to make the query more focused.,True,high
833860,what is the most popular food in switzerland,what is the most popular food in switzerland for traditional celebrations,Purpose Specification,"The purpose of identifying the most popular food was specified to be for traditional celebrations, making the query more focused.",True,high
207786,how are some sharks warm blooded,what is the purpose of some sharks being warm blooded,Purpose Specification,"The query was transformed to specify the intended use or application, focusing on the purpose of some sharks being warm blooded.",True,high
1114819,what is durable medical equipment consist of,what is durable medical equipment used for,Purpose Specification,"The query was transformed to specify the intended use of durable medical equipment, making it more focused.",True,high
183378,exons definition biology,what is the definition of exons used for in biology,Purpose Specification,The reformulated query specifies the intended use or application of the definition of exons in the context of biology.,True,high
1106007,define visceral?,define visceral for medical terminology,Purpose Specification,Specified the intended use or application of the term 'visceral' to make the query more focused.,True,high
1124210,tracheids are part of _____.,tracheids are part of what structure in plants,Purpose Specification,The reformulated query specifies the intended use or application by asking about the specific structure in plants where tracheids are found.,True,high
490595,rsa definition key,what is rsa key used for,Purpose Specification,"The query was transformed to specify the intended use of RSA keys, making it more focused.",True,high
1103812,who formed the commonwealth of independent states,what was the purpose of forming the commonwealth of independent states,Purpose Specification,The reformulated query specifies the intended use or application by asking about the purpose behind the formation of the Commonwealth of Independent States.,True,high
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy for diagnostic purposes,Purpose Specification,"The purpose of identifying the causes is specified as being for diagnostic purposes, making the query more focused.",True,high
443396,lps laws definition,what are lps laws used for,Purpose Specification,"The query was transformed to specify the intended use or application of LPS laws, making it more focused.",True,high
1121709,what are the three percenters?,what are the three percenters and their purpose,Purpose Specification,Added a focus on the intended use or application of the 'three percenters' to make the query more specific.,True,high
87452,causes of military suicide,causes of military suicide for prevention strategies,Purpose Specification,The purpose of understanding the causes is specified as being for developing prevention strategies.,True,high
855410,what is theraderm used for,what is theraderm used for in skincare,Purpose Specification,Specified the intended use of Theraderm to make the query more focused on its application in skincare.,True,high
1114646,what is famvir prescribed for,what is famvir used to treat,Purpose Specification,"The query was transformed to specify the intended use of Famvir, focusing on what it treats.",True,high
19335,anthropological definition of environment,anthropological definition of environment for academic research,Purpose Specification,Specified the intended use (academic research) to make the query more focused.,True,high
47923,axon terminals or synaptic knob definition,what is the function of axon terminals or synaptic knobs,Purpose Specification,"The query was transformed to specify the intended use or function of axon terminals and synaptic knobs, making it more focused.",True,high
405717,is cdg airport in main paris,is cdg airport used for main paris travel,Purpose Specification,"The query was reformulated to specify the intended use of CDG airport, focusing on its role in Paris travel.",True,high
182539,example of monotonic function,example of monotonic function for calculus,Purpose Specification,Specified the intended use or application (calculus) to make the query more focused.,True,high
1113437,what is physical description of spruce,what are the physical characteristics of spruce used for identification,Purpose Specification,The purpose of identifying the physical description of spruce is specified to focus on its use for identification.,True,high
1129237,hydrogen is a liquid below what temperature,hydrogen's liquid state for cryogenic applications below what temperature,Purpose Specification,"The intended use of hydrogen as a liquid, specifically for cryogenic applications, is specified to make the query more focused.",True,high
